account,course,item_type,name,begin_time,finish_time,progress,state,view_count,viewed_duration,total_duration
251060150506,创新思维,video,第1讲 和谐境界（上）,04-27 06:33:11,04-27 10:59:12,1.00,已学,7,00:23:30,00:21:12
251060150506,创新思维,video,第2讲 和谐境界（下）,04-27 06:33:10,04-27 06:47:39,1.00,已学,3,00:12:30,00:08:39
251060150506,创新思维,video,第3讲 消除冲突（上）,04-27 06:33:11,04-27 06:47:31,0.96,已学,3,00:12:23,00:12:53
251060150506,创新思维,video,第4讲 消除冲突（下）,04-27 06:33:11,04-27 06:50:41,0.92,已学,4,00:13:00,00:14:07
251060150506,创新思维,video,第5讲 化解对立（上）,04-27 06:50:11,04-27 11:04:47,0.96,已学,5,00:15:30,00:16:12
251060150506,创新思维,video,第6讲 化解对立（下）,04-27 06:50:12,04-27 11:04:47,1.00,已学,5,00:15:30,00:13:38
251060150506,创新思维,video,第1讲 心灵和谐（上）,04-27 06:50:11,04-27 11:04:47,1.00,已学,4,00:12:50,00:10:20
251060150506,创新思维,video,第2讲 心灵和谐（下）,04-27 10:47:14,04-27 11:04:47,1.00,已学,4,00:15:00,00:12:43
251060150506,创新思维,video,第3讲 快乐之道（上）,04-27 10:50:53,04-27 11:08:48,0.99,已学,5,00:15:00,00:15:05
251060150506,创新思维,video,第4讲 快乐之道（下）,04-27 10:50:52,04-27 11:08:48,1.00,已学,5,00:15:00,00:14:28
251060150506,创新思维,video,第5讲 和谐之道（上）,04-27 10:50:52,04-27 10:59:25,0.92,已学,2,00:08:13,00:08:53
251060150506,创新思维,video,第6讲 和谐之道（下）,04-27 10:50:53,04-27 11:12:26,0.93,已学,6,00:17:00,00:18:17
251060150506,创新思维,video,第1讲 宽容之道（上）,04-27 10:50:53,04-27 11:04:47,0.90,已学,3,00:12:00,00:13:17
251060150506,创新思维,video,第2讲 宽容之道（下）,04-27 11:00:15,04-27 11:18:07,0.90,已学,5,00:14:30,00:16:06
251060150506,创新思维,video,第3讲 仁爱之道（上）,04-27 11:00:15,04-27 11:23:01,1.00,已学,6,00:18:00,00:17:26
251060150506,创新思维,video,第4讲 仁爱之道（下）,04-27 11:06:16,04-27 11:23:01,1.00,已学,4,00:13:00,00:12:31
251060150506,创新思维,video,第5讲 天人合一（上）,04-27 11:06:16,04-27 11:30:19,0.96,已学,5,00:15:00,00:15:33
251060150506,创新思维,video,第6讲 天人合一（下）,04-27 11:05:32,04-27 11:23:01,0.97,已学,5,00:13:30,00:13:54
251060150506,创新思维,video,第7讲 以和为贵（上）,04-27 11:06:16,04-27 11:23:01,0.97,已学,4,00:13:00,00:13:22
251060150506,创新思维,video,第8讲 以和为贵（下）,04-27 11:06:16,04-27 11:23:01,1.00,已学,4,00:13:00,00:11:54
251060150506,创新思维,exam,考试,,-,,未交,,-,
251060150506,创新思维,exam,考试,,-,,未交,,-,
251060150506,人像摄影,video,1.1 数码相机,04-23 19:43:59,05-18 03:24:34,1.00,已学,5,00:26:31,00:14:04
251060150506,人像摄影,video,1.1 数码相机,04-23 19:43:58,04-25 03:22:56,1.00,已学,5,00:04:01,00:01:54
251060150506,人像摄影,video,1.2 像素大小,04-23 19:43:59,04-25 03:22:56,1.00,已学,5,00:32:01,00:19:53
251060150506,人像摄影,video,1.2 像素大小,04-25 12:32:02,04-25 13:01:45,1.00,已学,6,00:04:04,00:04:04
251060150506,人像摄影,video,1.3 镜头,04-25 12:32:03,04-25 14:07:13,1.00,已学,7,00:31:20,00:31:20
251060150506,人像摄影,video,1.3 镜头,04-25 12:32:02,04-25 13:02:01,1.00,已学,6,00:04:20,00:04:20
251060150506,人像摄影,video,1.4 光圈,04-25 12:32:03,04-25 13:55:52,1.00,已学,7,00:20:02,00:20:02
251060150506,人像摄影,video,1.4 光圈,04-25 12:32:02,04-25 12:40:30,1.00,已学,2,00:01:18,00:01:18
251060150506,人像摄影,video,1.5 快门,04-25 13:39:13,04-25 13:55:02,1.00,已学,2,00:15:12,00:15:12
251060150506,人像摄影,video,1.5 快门,04-25 13:39:12,04-25 13:47:19,1.00,已学,2,00:01:59,00:01:59
251060150506,人像摄影,video,1.6 色温,04-25 13:39:13,04-25 13:50:04,1.00,已学,2,00:10:17,00:19:53
251060150506,人像摄影,video,1.6 色温,04-25 14:08:38,04-25 14:23:06,1.00,已学,2,00:02:19,00:02:19
251060150506,人像摄影,video,1.7 感光度,04-25 14:08:39,04-25 14:23:06,1.00,已学,2,00:13:05,00:13:05
251060150506,人像摄影,video,1.7 感光度,04-25 14:08:38,04-25 14:23:06,1.00,已学,2,00:01:22,00:01:22
251060150506,人像摄影,video,1.8 景深控制,04-25 14:08:39,04-25 14:23:06,1.00,已学,2,00:12:55,00:12:55
251060150506,人像摄影,video,1.8 景深控制,04-25 14:08:38,04-25 14:23:06,1.00,已学,2,00:01:49,00:01:49
251060150506,人像摄影,video,1.9 曝光模式,04-25 17:59:03,04-25 19:08:18,1.00,已学,3,00:11:18,00:11:18
251060150506,人像摄影,video,1.9 曝光模式,04-25 17:59:01,04-25 19:04:41,1.00,已学,2,00:03:57,00:03:13
251060150506,人像摄影,video,1.10 测光模式,04-25 17:59:04,04-27 03:32:00,1.00,已学,6,00:16:43,00:16:13
251060150506,人像摄影,video,1.10 测光模式,04-25 17:59:01,04-25 18:47:49,1.00,已学,2,00:03:05,00:03:05
251060150506,人像摄影,exam,期末考试,,-,,未交,,-,
251060150506,人像摄影,exam,期末考试,,-,,未交,,-,
251060150506,情商与智慧人生,video,知晓情商的五大理由,04-25 01:08:41,04-25 03:05:05,1.00,已学,7,00:27:05,00:16:35
251060150506,情商与智慧人生,video,情商智慧背景与内涵,04-25 01:08:41,04-25 03:00:09,1.00,已学,7,00:25:13,00:16:21
251060150506,情商与智慧人生,video,情商四要素无能力,04-25 01:08:40,04-25 03:00:09,1.00,已学,6,00:24:39,00:14:07
251060150506,情商与智慧人生,video,情商比智商更重要,04-25 01:08:40,04-25 03:00:09,1.00,已学,6,00:25:04,00:15:28
251060150506,情商与智慧人生,video,哈佛理念与哈佛精神,04-25 01:08:40,04-25 03:00:09,1.00,已学,6,00:24:20,00:13:48
251060150506,情商与智慧人生,video,情商的核心是情绪和情感,04-25 03:20:49,04-25 03:45:06,1.00,已学,4,00:16:37,00:15:21
251060150506,情商与智慧人生,video,情绪情感与健康情绪的标准,04-25 03:20:49,04-25 04:59:05,1.00,已学,5,00:20:03,00:17:22
251060150506,情商与智慧人生,video,积极情绪是生命之基,04-25 03:20:49,04-25 03:45:07,1.00,已学,4,00:16:39,00:15:53
251060150506,情商与智慧人生,video,发现真实的自己,04-25 03:20:48,04-25 04:59:05,1.00,已学,5,00:20:00,00:17:59
251060150506,情商与智慧人生,video,发现了不起的自己,04-25 03:20:49,04-25 03:55:45,1.00,已学,6,00:22:01,00:18:40
