username,platform,platform_id,course_id,course_name,total_videos,completed,parallel_count,parallel_rate,avg_duration_ratio,low_ratio_count,avg_view_count,status
251060150506,劳动课程测评考试平台,2,1011331,,19,19,11,57.9%,5.98,0,8.4,parallel_detected
231010352802,劳动课程测评考试平台,2,1011330,,32,32,31,96.9%,1.07,0,3.0,parallel_detected
231020250609,劳动课程测评考试平台,2,1011330,,32,32,26,81.2%,0.97,1,1.0,parallel_detected
251050250504,劳动课程测评考试平台,2,1011331,,19,19,11,57.9%,1.21,0,1.2,parallel_detected
231070751007,劳动课程测评考试平台,2,1011330,,32,32,0,0.0%,1.00,0,1.0,ok
251060150513,劳动课程测评考试平台,2,-,-,0,0,0,,,,,login_failed
231010350731,劳动课程测评考试平台,2,1011330,,32,32,31,96.9%,7.07,0,8.9,parallel_detected
231020250606,劳动课程测评考试平台,2,1011330,,32,32,26,81.2%,1.78,0,2.0,parallel_detected
231010352205,劳动课程测评考试平台,2,1011330,,32,32,29,90.6%,2.00,0,2.0,parallel_detected
251040150201,劳动课程测评考试平台,2,-,-,0,0,0,,,,,login_failed
241070751007,劳动课程测评考试平台,2,1011333,,46,46,45,97.8%,1.00,0,2.0,parallel_detected
241060150411,劳动课程测评考试平台,2,-,-,0,0,0,,,,,login_failed
231010251203,劳动课程测评考试平台,2,1011330,,32,32,0,0.0%,0.91,0,1.0,ok
251110150432,劳动课程测评考试平台,2,1011331,,19,19,18,94.7%,1.05,0,2.1,parallel_detected
241070150114,劳动课程测评考试平台,2,1011333,,46,46,45,97.8%,5.43,0,7.0,parallel_detected
231060150702,劳动课程测评考试平台,2,1011330,,32,32,0,0.0%,1.00,0,1.0,ok
231010251206,劳动课程测评考试平台,2,1011330,,32,32,0,0.0%,0.92,0,1.1,ok
233811340304,劳动课程测评考试平台,2,1011333,,46,46,23,50.0%,1.37,0,2.5,parallel_detected
233811340304,劳动课程测评考试平台,2,1011332,,33,33,1,3.0%,1.23,0,2.1,parallel_detected
241080660109,劳动课程测评考试平台,2,1011333,,46,46,45,97.8%,5.44,0,6.5,parallel_detected
231020750414,劳动课程测评考试平台,2,1011330,,32,32,31,96.9%,1.71,0,2.9,parallel_detected
241040560421,劳动课程测评考试平台,2,-,-,0,0,0,,,,,login_failed
231090350213,劳动课程测评考试平台,2,1011330,,32,32,0,0.0%,1.02,0,1.1,ok
251050250502,劳动课程测评考试平台,2,1011331,,19,19,18,94.7%,1.22,0,2.7,parallel_detected
231010352703,劳动课程测评考试平台,2,1011330,,32,32,18,56.2%,1.19,0,2.0,parallel_detected
251060150508,劳动课程测评考试平台,2,-,-,0,0,0,,,,,login_failed
241031460112,劳动课程测评考试平台,2,1011333,,46,46,0,0.0%,1.00,0,1.0,ok
241010150303,劳动课程测评考试平台,2,1011333,,46,46,45,97.8%,2.97,0,4.3,parallel_detected
251010359902,劳动课程测评考试平台,2,1011331,,19,19,0,0.0%,1.01,0,1.2,ok
251060150505,劳动课程测评考试平台,2,-,-,0,0,0,,,,,login_failed
231110150301,劳动课程测评考试平台,2,1011330,,32,32,31,96.9%,1.55,0,2.5,parallel_detected
251060150509,劳动课程测评考试平台,2,1011331,,19,19,12,63.2%,2.00,0,2.0,parallel_detected
231070750229,劳动课程测评考试平台,2,1011330,,32,32,28,87.5%,1.00,0,1.0,parallel_detected
251010560108,劳动课程测评考试平台,2,1011331,,19,19,13,68.4%,1.07,0,1.1,parallel_detected
241070751009,在线课程测评考试平台,1,1024288,,12,12,11,91.7%,14.90,0,18.5,parallel_detected
231020250606,在线课程测评考试平台,1,1023759,,69,69,68,98.6%,0.97,3,2.0,parallel_detected
231020250606,在线课程测评考试平台,1,1023752,,43,43,42,97.7%,0.98,1,2.0,parallel_detected
231020250606,在线课程测评考试平台,1,1023751,,39,39,38,97.4%,1.00,0,2.0,parallel_detected
251060560128,在线课程测评考试平台,1,1024169,,59,59,58,98.3%,5.57,0,7.5,parallel_detected
251060150506,在线课程测评考试平台,1,1023759,,69,69,39,56.5%,1.06,0,4.0,parallel_detected
