订单ID,用户名,平台ID,任务类型,状态,已支付,价格,创建时间,开始时间,完成时间,备注
ORD-AB39BD9C,251060150509,2,full,completed,0,4.0,2026-05-22T16:24:21.033604,2026-05-22T16:24:39.208750,2026-05-22T16:54:54.216075,
ORD-5B5EA90F,241060150411,2,full,completed,1,5.0,2026-05-21T18:28:58.131728,,2026-05-21T21:18:30.292065,
ORD-B20FFABF,251060150508,2,full,completed,0,4.0,2026-05-21T16:45:15.089920,2026-05-21T16:45:28.586795,2026-05-21T17:07:22.748976,
ORD-C4EF2281,251060150505,2,full,completed,1,4.0,2026-05-21T16:44:07.686677,2026-05-21T16:44:29.869867,2026-05-21T17:06:24.537215,
ORD-679BFBB9,231020860122,1,video,completed,1,3.0,2026-05-21T01:04:21.430433,2026-05-21T01:05:08.029531,2026-05-21T01:48:54.934793,
ORD-2474C571,251060150513,2,video,completed,0,3.0,2026-05-21T00:39:59.524268,2026-05-21T00:41:47.963557,2026-05-21T01:04:12.157556,
ORD-927500F9,241040560421,2,video,completed,0,4.5,2026-05-20T15:20:18.495609,2026-05-20T15:22:58.561192,2026-05-20T15:53:33.762980,
ORD-44B5ACCA,251040150201,2,video,completed,1,2.1,2026-05-19T13:40:56.522222,2026-05-19T13:41:33.042369,2026-05-19T14:04:10.041259,
ORD-852377A5,241070150114,3,video,completed,1,3.0,2026-05-19T13:36:14.412143,2026-05-19T13:36:42.481090,2026-05-19T14:11:31.705629,
ORD-9FC8647F,241070751007,1,full,failed,1,19.0,2026-05-19T09:30:18.372967,2026-05-19T09:30:44.293795,2026-05-19T11:12:11.267622,考试 1/2: 25-26-2领导力期末考试
ORD-DB6DC8EF,251110150432,2,video,completed,0,3.0,2026-05-19T00:21:18.898990,2026-05-19T00:22:17.300575,2026-05-19T01:26:42.394869,
ORD-2C044EB6,231020250606,2,video,completed,1,2.4,2026-05-18T15:14:13.998277,2026-05-18T15:16:16.404199,2026-05-18T15:37:18.671177,
