username,platform,platform_id,course_id,course_name,total_videos,completed,parallel_count,status
251060150506,劳动课程测评考试平台,2,1011331,,19,19,11,parallel_detected
231010352802,劳动课程测评考试平台,2,1011330,,32,32,31,parallel_detected
231020250609,劳动课程测评考试平台,2,1011330,,32,32,26,parallel_detected
251050250504,劳动课程测评考试平台,2,1011331,,19,19,11,parallel_detected
231070751007,劳动课程测评考试平台,2,1011330,,32,32,0,ok
251060150513,劳动课程测评考试平台,2,-,-,0,0,0,login_failed
231010350731,劳动课程测评考试平台,2,1011330,,32,32,31,parallel_detected
231020250606,劳动课程测评考试平台,2,1011330,,32,32,26,parallel_detected
231010352205,劳动课程测评考试平台,2,1011330,,32,32,29,parallel_detected
251040150201,劳动课程测评考试平台,2,-,-,0,0,0,login_failed
241070751007,劳动课程测评考试平台,2,1011333,,46,46,45,parallel_detected
241060150411,劳动课程测评考试平台,2,-,-,0,0,0,login_failed
231010251203,劳动课程测评考试平台,2,1011330,,32,32,0,ok
251110150432,劳动课程测评考试平台,2,1011331,,19,19,18,parallel_detected
241070150114,劳动课程测评考试平台,2,1011333,,46,46,45,parallel_detected
231060150702,劳动课程测评考试平台,2,1011330,,32,32,0,ok
231010251206,劳动课程测评考试平台,2,1011330,,32,32,0,ok
233811340304,劳动课程测评考试平台,2,1011333,,46,46,23,parallel_detected
233811340304,劳动课程测评考试平台,2,1011332,,33,33,1,parallel_detected
241080660109,劳动课程测评考试平台,2,1011333,,46,46,45,parallel_detected
231020750414,劳动课程测评考试平台,2,1011330,,32,32,31,parallel_detected
241040560421,劳动课程测评考试平台,2,-,-,0,0,0,login_failed
231090350213,劳动课程测评考试平台,2,1011330,,32,32,0,ok
251050250502,劳动课程测评考试平台,2,1011331,,19,19,18,parallel_detected
231010352703,劳动课程测评考试平台,2,1011330,,32,32,18,parallel_detected
251060150508,劳动课程测评考试平台,2,-,-,0,0,0,login_failed
241031460112,劳动课程测评考试平台,2,1011333,,46,46,0,ok
241010150303,劳动课程测评考试平台,2,1011333,,46,46,45,parallel_detected
251010359902,劳动课程测评考试平台,2,1011331,,19,19,0,ok
251060150505,劳动课程测评考试平台,2,-,-,0,0,0,login_failed
231110150301,劳动课程测评考试平台,2,1011330,,32,32,31,parallel_detected
251060150509,劳动课程测评考试平台,2,1011331,,19,19,12,parallel_detected
231070750229,劳动课程测评考试平台,2,1011330,,32,32,28,parallel_detected
251010560108,劳动课程测评考试平台,2,1011331,,19,19,17,parallel_detected
241070751009,在线课程测评考试平台,1,1024288,,12,12,11,parallel_detected
231020250606,在线课程测评考试平台,1,1023759,,69,69,68,parallel_detected
231020250606,在线课程测评考试平台,1,1023752,,43,43,42,parallel_detected
231020250606,在线课程测评考试平台,1,1023751,,39,39,38,parallel_detected
251060560128,在线课程测评考试平台,1,1024169,,59,59,58,parallel_detected
251060150506,在线课程测评考试平台,1,1023759,,69,69,39,parallel_detected
251060150506,在线课程测评考试平台,1,1023757,,114,114,73,parallel_detected
251060150506,在线课程测评考试平台,1,1023739,,41,41,22,parallel_detected
251050250502,在线课程测评考试平台,1,1023741,,30,30,0,ok
231010352802,在线课程测评考试平台,1,1024089,,1,0,0,ok
241080760215,在线课程测评考试平台,1,1024152,,6,6,0,ok
231020860122,在线课程测评考试平台,1,-,-,0,0,0,login_failed
251010250831,在线课程测评考试平台,1,1024030,,6,4,1,parallel_detected
251010250831,在线课程测评考试平台,1,1023751,,39,39,25,parallel_detected
251010250831,在线课程测评考试平台,1,1023750,,115,114,99,parallel_detected
251010250831,在线课程测评考试平台,1,1023745,,65,63,57,parallel_detected
251060560108,在线课程测评考试平台,1,1023945,,21,21,20,parallel_detected
251060560108,在线课程测评考试平台,1,1020358,,6,6,5,parallel_detected
241070751007,在线课程测评考试平台,1,-,-,0,0,0,login_failed
251010560108,在线课程测评考试平台,1,1000838,,27,27,25,parallel_detected
241070751007,公益课程平台,3,1021756,,26,26,25,parallel_detected
241070150114,公益课程平台,3,-,-,0,0,0,login_failed
241080760215,公益课程平台,3,1021756,,26,26,18,parallel_detected
241080660109,公益课程平台,3,1021756,,26,26,24,parallel_detected
