任务ID,订单ID,用户名,平台ID,任务类型,状态,进度,创建时间,开始时间,完成时间,错误信息
JOB-6400C9AC07,ORD-0DAFDCF0,231020250609,2,video,running,95.0,2026-05-23T08:47:00.798594,2026-05-23T16:47:01.397632,,
JOB-98DC4D2CBF,ORD-AB39BD9C,251060150509,2,full,completed,100.0,2026-05-22T16:24:39.197967,2026-05-22T16:32:55.671766,2026-05-22T16:54:54,
JOB-B0F7D576D8,ORD-B20FFABF,251060150508,2,full,completed,100.0,2026-05-21T16:45:28.582018,2026-05-21T16:45:28.797786,2026-05-21T17:07:22,
JOB-FFBAC695D2,ORD-C4EF2281,251060150505,2,full,completed,100.0,2026-05-21T16:44:29.864923,2026-05-21T16:44:30.607791,2026-05-21T17:06:24,
JOB-23A3B5B011,ORD-5B5EA90F,241060150411,2,full,completed,100.0,2026-05-21T12:47:48.814614,2026-05-21T20:47:49.125269,2026-05-21T21:18:30,
JOB-D7B3695F7A,ORD-679BFBB9,231020860122,1,video,completed,100.0,2026-05-21T01:05:08.024936,2026-05-21T01:05:09.670132,2026-05-21T01:48:54,
JOB-D065D932FF,ORD-2474C571,251060150513,2,video,completed,100.0,2026-05-21T00:41:47.955345,2026-05-21T00:41:48.038822,2026-05-21T01:04:12,
JOB-DBD25E8C66,ORD-927500F9,241040560421,2,video,completed,100.0,2026-05-20T15:22:58.556600,2026-05-20T15:22:58.745168,2026-05-20T15:53:33,
JOB-0BACB746E5,ORD-44B5ACCA,251040150201,2,video,completed,100.0,2026-05-19T13:41:32.942721,2026-05-19T13:41:33.395621,2026-05-19T14:04:09,
JOB-3BF588B316,ORD-852377A5,241070150114,3,video,completed,100.0,2026-05-19T13:36:42.395914,2026-05-19T13:36:42.785177,2026-05-19T14:11:31,
JOB-3DB35210C7,ORD-9FC8647F,241070751007,1,exam,completed,100.0,2026-05-19T09:30:44.276478,2026-05-19T11:39:37.865724,2026-05-19T11:41:32,
JOB-BF76CEA2DF,ORD-DB6DC8EF,251110150432,2,video,completed,100.0,2026-05-19T00:22:17.287250,2026-05-19T07:12:30.688977,2026-05-19T07:13:03,
JOB-0CD678B4F2,ORD-1DCF7CCD,231020250606,1,exam,completed,100.0,2026-05-18T18:14:45.402622,2026-05-19T00:22:31.886214,2026-05-19T00:22:37,
JOB-8F9C8B354A,ORD-1DCF7CCD,231020250606,1,exam,completed,100.0,2026-05-18T18:08:50.678198,2026-05-19T00:22:45.928168,2026-05-19T00:22:51,
JOB-5386B71843,ORD-1DCF7CCD,231020250606,1,exam,cancelled,0.0,2026-05-18T18:07:51.600381,2026-05-18T18:08:35.614558,2026-05-18T18:08:50.666120,考试部分失败
JOB-BE42B308F0,ORD-2C044EB6,231020250606,2,video,completed,100.0,2026-05-18T15:16:16.356032,2026-05-18T15:16:17.325905,2026-05-18T15:37:18,
JOB-A4D6A0A6E0,ORD-1DCF7CCD,231020250606,1,full,completed,100.0,2026-05-18T15:16:15.507478,2026-05-18T18:18:39.006702,2026-05-18T18:20:45,
JOB-B6EB528C6D,ORD-123FE00C,251050250504,2,video,completed,100.0,2026-05-18T14:58:34.169393,2026-05-18T14:58:35.405621,2026-05-18T15:22:06,
JOB-61A3A6A3BA,ORD-3F24EF6A,231010352205,2,video,completed,100.0,2026-05-18T14:42:21.863145,2026-05-18T14:42:22.000190,2026-05-18T15:07:08,
JOB-B7EB4A9EA1,ORD-C60BB66C,241080760215,3,video,completed,100.0,2026-05-18T14:05:19.453341,2026-05-18T14:33:53.104410,2026-05-18T15:06:24,
JOB-F9521CCDF1,ORD-634FC497,241080760215,1,exam,completed,100.0,2026-05-18T14:05:18.502519,2026-05-18T14:05:20.092124,2026-05-18T14:06:57,
JOB-254EDBD2B7,ORD-89E6B6F7,251060560108,1,full,completed,100.0,2026-05-18T11:30:07.520638,2026-05-18T12:49:27.225227,2026-05-18T12:50:33,
JOB-E34679E100,ORD-0627C2C1,231010352802,2,full,completed,100.0,2026-05-18T10:00:03.827714,2026-05-18T13:37:57.164372,2026-05-18T13:38:50,
JOB-1504F7B00C,ORD-B13422CC,231010352703,2,full,completed,100.0,2026-05-18T07:45:22.358503,2026-05-18T07:45:23.597742,2026-05-18T08:03:28,
JOB-0EE1C9290E,ORD-FB2FBBA2,241080660109,3,video,completed,100.0,2026-05-18T06:46:10.683995,2026-05-18T07:58:13.696105,2026-05-18T07:58:46,
JOB-5F0FFACB4A,ORD-8E086EF1,241080660109,2,full,completed,100.0,2026-05-18T06:46:10.479176,2026-05-18T13:39:19.845832,2026-05-18T13:40:47,
JOB-B80964E55D,ORD-26C1AB23,231010350731,2,full,completed,100.0,2026-05-18T05:24:19.049683,2026-05-18T13:37:54.892264,2026-05-18T13:38:50,
JOB-F1E4F0483F,ORD-B9EB6D88,241010150303,2,full,completed,100.0,2026-05-18T05:24:17.439844,2026-05-18T13:39:19.821889,2026-05-18T13:40:47,
JOB-16A03CA265,ORD-77EC9A6A,241070150114,2,full,completed,100.0,2026-05-18T05:24:16.894352,2026-05-18T07:33:13.776170,2026-05-18T07:34:11,
JOB-AF929F5442,ORD-4D3C1083,241070751007,3,video,completed,100.0,2026-05-18T05:24:16.360606,2026-05-18T12:49:54.685375,2026-05-18T12:50:33,
JOB-CAAE90AAC8,ORD-49575F99,241070751007,2,full,completed,100.0,2026-05-18T05:24:15.826404,2026-05-18T13:39:19.729338,2026-05-18T13:40:47,
JOB-8A7BF04CF1,ORD-8784BDE0,233811340304,2,full,completed,100.0,2026-05-18T05:24:15.295331,2026-05-18T13:39:19.655931,2026-05-18T13:41:38,
JOB-87C826705F,ORD-5BFC1D93,251050250502,1,exam,completed,100.0,2026-05-18T05:24:14.757978,2026-05-18T11:53:57.095739,2026-05-18T11:54:03,
JOB-B9CEA5D1BC,ORD-A7D2C827,231090350213,2,exam,completed,100.0,2026-05-18T02:56:02.291894,2026-05-18T06:25:43.683742,2026-05-18T06:25:52.894796,
