用户名,平台,课程ID,课程名称,视频总数,视频已完成,考试总数,考试已完成
251050250504,劳动课程测评考试平台,1011331,实验室安全教育 第二版,19,19,1,0
251050250504,在线课程测评考试平台,1023752,图说人际关系心理,43,0,2,0
251050250504,在线课程测评考试平台,1024034,综合英语II,9,6,0,0
251050250504,在线课程测评考试平台,1023757,人像摄影,114,31,2,0
251050250504,在线课程测评考试平台,1023751,文化差异与跨文化交际,39,0,2,0
251050250504,粟湾平台,1023752,图说人际关系心理,43,0,2,0
251050250504,粟湾平台,1024034,综合英语II,9,6,0,0
251050250504,粟湾平台,1023757,人像摄影,114,31,2,0
251050250504,粟湾平台,1023751,文化差异与跨文化交际,39,0,2,0
251050250504,劳动教育平台,1011331,实验室安全教育 第二版,19,2,1,0
251060150409,粟湾平台,1023758,自我认知与情绪管理,64,64,2,0
251060150409,粟湾平台,1024013,程序设计基础实训,0,0,0,0
251060150409,粟湾平台,1023752,图说人际关系心理,43,43,2,0
251060150409,粟湾平台,1023750,职业素养与竞争力,115,111,2,0
251060150409,粟湾平台,1024096,Spoc大学英语语法课,6,5,0,0
251060150409,劳动教育平台,1011331,实验室安全教育 第二版,19,18,1,1
231110150603,劳动教育平台,1011330,毕业论文写作与答辩,32,30,1,1
251060150505,劳动课程测评考试平台,1011331,实验室安全教育 第二版,19,0,1,0
251060150505,在线课程测评考试平台,1023741,沟通理论与技巧,30,24,2,0
251060150505,在线课程测评考试平台,1023739,情商与智慧人生,41,24,2,0
251060150505,在线课程测评考试平台,1024013,程序设计基础实训,0,0,0,0
251060150505,在线课程测评考试平台,1024122,大学英语II（英语 普通本科),4,4,0,0
251060150505,在线课程测评考试平台,1023757,人像摄影,114,9,2,0
231020250606,粟湾平台,1023759,创新思维,69,65,2,0
231020250606,粟湾平台,1023752,图说人际关系心理,43,42,2,0
231020250606,粟湾平台,1023751,文化差异与跨文化交际,39,38,2,0
231020250606,劳动教育平台,1011330,毕业论文写作与答辩,32,31,1,0
251060150515,劳动课程测评考试平台,1011331,实验室安全教育 第二版,19,6,1,1
251060150515,在线课程测评考试平台,1023759,创新思维,69,69,2,0
251060150515,在线课程测评考试平台,1023758,自我认知与情绪管理,64,59,2,0
251060150515,在线课程测评考试平台,1024013,程序设计基础实训,0,0,0,0
251060150515,在线课程测评考试平台,1024122,大学英语II（英语 普通本科),4,4,0,0
251060150515,在线课程测评考试平台,1023757,人像摄影,114,87,2,0
251060150515,粟湾平台,1023759,创新思维,69,69,2,0
251060150515,粟湾平台,1023758,自我认知与情绪管理,64,59,2,0
251060150515,粟湾平台,1024013,程序设计基础实训,0,0,0,0
251060150515,粟湾平台,1024122,大学英语II（英语 普通本科),4,4,0,0
251060150515,粟湾平台,1023757,人像摄影,114,87,2,0
251060150515,劳动教育平台,1011331,实验室安全教育 第二版,19,6,1,1
251060150506,劳动课程测评考试平台,1011331,实验室安全教育 第二版,19,19,1,1
251060150506,在线课程测评考试平台,1023759,创新思维,69,50,2,0
251060150506,在线课程测评考试平台,1023739,情商与智慧人生,41,41,2,0
251060150506,在线课程测评考试平台,1024013,程序设计基础实训,0,0,0,0
251060150506,在线课程测评考试平台,1024122,大学英语II（英语 普通本科),4,4,0,0
